"","X","x_TRUE","Temperature","TempError","y_TRUE","D47error","D47","Material"
"1",1,14.5669495504274,14.5828323679507,0.0158828175232949,0.795220480180473,-0.000838011597739334,0.794382468582734,1
"2",2,13.0809213618465,13.0835912386013,0.00266987675481145,0.794684968708143,0.00968441853060573,0.804369387238749,1
"3",3,14.6287258962255,14.6469786395375,0.0182527433120003,0.8142351101751,-0.000489497972434843,0.813745612202665,1
"4",4,6.79716742221948,6.88965149110198,0.0924840688825038,0.530369165808808,-0.00287341417027633,0.527495751638532,1
"5",5,14.8875797473397,14.7624149255505,-0.125164821789145,0.801243232955619,0.00316552096653617,0.804408753922155,1
"6",6,15.1047810913868,14.9746182873822,-0.130162804004624,0.831243542853355,-0.00136046390200232,0.829883078951352,1
"7",7,11.751782462407,11.8148775029968,0.0630950405897458,0.715514628708023,0.00336136614187759,0.7188759948499,1
"8",8,12.3034619338307,12.3682414820495,0.0647795482187978,0.722130459764094,-0.0114195184190524,0.710710941345041,1
"9",9,15.9263525856335,15.8700302251132,-0.0563223605202114,0.888168282144884,-0.00747980973854239,0.880688472406342,1
"10",10,13.2915270410396,13.2500549527431,-0.0414720882965453,0.722755319363643,0.00333643122528832,0.726091750588931,1
"11",11,11.8204747451646,11.7712069474425,-0.04926779772215,0.696390510909088,-0.000278249863786982,0.696112261045301,1
"12",12,12.5618378022338,12.4801667043817,-0.0816710978520855,0.759950289112114,0.00473630660483126,0.764686595716946,1
"13",13,16.0417375724131,16.0361889311987,-0.00554864121445479,0.847711962690187,0.00430018048950103,0.852012143179688,1
"14",14,13.4923169891058,13.4878846753036,-0.00443231380227044,0.770653061237739,0.00511501542991221,0.775768076667651,1
"15",15,13.2545726271384,13.1951688388331,-0.0594037883053467,0.73364209767054,-0.0055226216076063,0.728119476062933,1
"16",16,12.3915624054294,12.3313652133762,-0.0601971920532102,0.769574324769393,-0.000499283433036765,0.769075041336357,1
"17",17,9.0312572396055,8.96267400689417,-0.0685832327113324,0.570864983823882,-0.00513932729269909,0.565725656531183,1
"18",18,11.1812673799089,11.2705635141728,0.0892961342639167,0.662719331520343,-0.00771559925981369,0.65500373226053,1
"19",19,8.95926313298353,8.84892561749495,-0.110337515488582,0.594596692498818,0.000829799155005623,0.595426491653824,1
"20",20,13.0820093884844,13.182438996529,0.100429608044639,0.743194998425277,-0.00452872655383464,0.738666271871443,1
"21",21,9.49953842230106,9.62000567150296,0.120467249201903,0.609240305652274,-0.00618333164914575,0.603056974003128,1
"22",22,13.1350620186952,13.1595416429099,0.0244796242146147,0.75141445539102,0.00681995626090752,0.758234411651927,1
"23",23,15.5542868340835,15.5510924445287,-0.00319438955484,0.825339590770176,-0.0132970359000365,0.81204255487014,1
"24",24,10.53546500234,10.6023393086376,0.0668743062975334,0.677423870932955,0.00797939799014298,0.685403268923098,1
"25",25,10.4215927152317,10.4234385173665,0.00184580213475967,0.643962434385032,-0.00528513177488055,0.638677302610151,1
"26",26,10.9291031364969,10.8644177705193,-0.0646853659776394,0.669036950125448,0.0061037504854781,0.675140700610926,1
"27",27,16.5957860409326,16.7345690157888,0.138782974856203,0.886298418792335,-0.0103405837879052,0.87595783500443,1
"28",28,13.2860560415983,13.3021499582524,0.0160939166541089,0.775269870990987,0.0116056877519214,0.786875558742909,1
"29",29,12.1999700526009,12.151353344864,-0.0486167077369127,0.699095952503295,-0.00486449996168834,0.694231452541607,1
"30",30,9.59082524975003,9.59668319312078,0.00585794337074094,0.597086155283125,0.00298266520040262,0.600068820483527,1
"31",31,8.65882795719934,8.60722911608512,-0.0515988411142151,0.588490091818863,0.0055916137280608,0.594081705546924,1
"32",32,13.6662240489633,13.4462688092335,-0.219955239729886,0.763556044585591,0.00662268329152704,0.770178727877118,1
"33",33,8.88667634168497,8.81418624525983,-0.0724900964251419,0.591888447934374,0.00703320238641883,0.598921650320792,1
"34",34,14.816210155893,14.8342573173061,0.0180471614130171,0.797379164625433,-0.00523237070119189,0.792146793924241,1
"35",35,12.3566308848554,12.3958064757157,0.0391755908603324,0.739429851563741,0.00597412442461821,0.745403975988359,1
"36",36,12.3314007934464,12.3454175748376,0.0140167813911354,0.72685472404669,-0.01114538687158,0.71570933717511,1
"37",37,9.82065337585146,9.75581499811064,-0.0648383777408162,0.654226295361941,0.00490512268731536,0.659131418049256,1
"38",38,11.9674651760835,12.0070976490515,0.0396324729680175,0.722261606536865,-0.00213827316885694,0.720123333368008,1
"39",39,11.2536576227977,11.3364699469295,0.0828123241318229,0.697343613348718,-0.00494199845671936,0.692401614891999,1
"40",40,13.1528621590465,13.2205074304699,0.0676452714234304,0.780466330826874,-0.00101179126378852,0.779454539563086,1
"41",41,7.04801568223833,7.11817385761113,0.0701581753728038,0.549265122769944,0.00640130368814577,0.55566642645809,1
"42",42,8.54621641785827,8.45325596832595,-0.0929604495323242,0.622790614269322,-0.0079367632063899,0.614853851062932,1
"43",43,15.1051075277446,15.3348460219646,0.229738494219997,0.848967768939355,-0.000542654037332283,0.848425114902023,1
"44",44,6.78255340863263,6.87514368812735,0.0925902794947239,0.528866307947391,0.000894407356737718,0.529760715304129,1
"45",45,17.029197773914,17.1388890003544,0.109691226440371,0.925912496855445,0.00199018625963381,0.927902683115078,1
"46",46,11.3107088976138,11.331937118733,0.0212282211191516,0.692355034111356,-0.00305045052049395,0.689304583590862,1
"47",47,15.4060554552985,15.3785082392539,-0.0275472160445831,0.818075653494729,-0.00302739953618049,0.815048253958549,1
"48",48,13.192712536331,13.2275533745944,0.0348408382633641,0.787145272472619,-0.00686119440651642,0.780284078066102,1
"49",49,12.2845047467637,12.2789711679833,-0.00553357878042761,0.719551810330175,-0.00534795119628061,0.714203859133895,1
"50",50,12.7062889510427,12.5324216945111,-0.173867256531614,0.730294203936827,-0.00166760213421653,0.72862660180261,1
"51",51,11.1722601022345,11.1336583615218,-0.0386017407126572,0.675486960636819,0.00256139070436218,0.678048351341181,1
"52",52,13.086175793299,13.1791414765502,0.092965683251241,0.716983723445957,-0.000152544104758617,0.716831179341199,1
"53",53,12.0849916339307,12.1576917133114,0.0727000793806371,0.723737298619814,-0.00613812865786326,0.717599169961951,1
"54",54,11.4414396181745,11.3448472992839,-0.0965923188905697,0.67926010573441,0.00731646178536725,0.686576567519777,1
"55",55,10.2951447369285,10.3086605443541,0.0135158074255869,0.620748017355704,-0.00348131538485352,0.617266701970851,1
"56",56,11.9844652276765,12.0418212958414,0.0573560681649309,0.656096795940416,-0.0100432656929925,0.646053530247424,1
"57",57,9.38135816309358,9.40654946784679,0.0251913047532147,0.594222471558432,-0.000984616807675862,0.593237854750756,1
"58",58,9.39578067701922,9.41832856611671,0.0225478890974948,0.618859656212019,0.000850747902207583,0.619710404114226,1
"59",59,12.7816813683122,12.794553170621,0.0128718023087938,0.729077821927248,-0.00260127880949709,0.726476543117751,1
"60",60,14.5244031985412,14.5775391419408,0.0531359433996831,0.815104232688054,0.00566255757853691,0.820766790266591,1
"61",61,17.2655488730432,17.2099138302154,-0.0556350428277939,0.92310940876551,-0.000711285394529604,0.92239812337098,1
"62",62,12.458705624315,12.3933062138623,-0.0653994104526783,0.706865621771577,0.00627665343204858,0.713142275203626,1
